Hash Code 2021

Simulation
----------
Duration     : 676
Intersections: 500
Streets      : 998
Cars         : 1000
Max score    : 921203
Bonus points : 500

Schedule
--------
Intersections   : 500
Street lights   : 956
Arrived cars    : 839
Earliest arrival: 3
Latest arrival  : 676
Crossed streets : 952
Total wait time : 85211
Schedule score  : 718069
Incremental Improver: 100 rounds
Greedy improver: 10 min wait time, 500 max streets per round
Street 545, intersection 499: 677 total wait time, 221 streets in the intersection
Street 337, intersection 499: 677 total wait time, 221 streets in the intersection
Street 813, intersection 499: 677 total wait time, 221 streets in the intersection
Street 145, intersection 499: 677 total wait time, 221 streets in the intersection
Street 377, intersection 499: 677 total wait time, 221 streets in the intersection
  => New best score by adding 0 to street 377: 719379
Street 333, intersection 499: 677 total wait time, 221 streets in the intersection
Street 209, intersection 499: 677 total wait time, 221 streets in the intersection
Street 9, intersection 499: 677 total wait time, 221 streets in the intersection
Street 233, intersection 499: 677 total wait time, 221 streets in the intersection
Street 141, intersection 499: 677 total wait time, 221 streets in the intersection
Street 489, intersection 499: 677 total wait time, 221 streets in the intersection
Street 585, intersection 499: 677 total wait time, 221 streets in the intersection
Street 341, intersection 499: 677 total wait time, 221 streets in the intersection
Street 57, intersection 499: 677 total wait time, 221 streets in the intersection
Street 893, intersection 499: 677 total wait time, 221 streets in the intersection
Street 285, intersection 499: 677 total wait time, 221 streets in the intersection
Street 89, intersection 499: 677 total wait time, 221 streets in the intersection
Street 781, intersection 499: 677 total wait time, 221 streets in the intersection
Street 73, intersection 499: 677 total wait time, 221 streets in the intersection
Street 713, intersection 499: 677 total wait time, 221 streets in the intersection
Street 41, intersection 499: 677 total wait time, 221 streets in the intersection
Street 501, intersection 499: 677 total wait time, 221 streets in the intersection
Street 17, intersection 499: 677 total wait time, 221 streets in the intersection
Street 365, intersection 499: 677 total wait time, 221 streets in the intersection
Street 205, intersection 499: 677 total wait time, 221 streets in the intersection
Street 581, intersection 499: 677 total wait time, 221 streets in the intersection
Street 225, intersection 499: 677 total wait time, 221 streets in the intersection
Street 833, intersection 499: 677 total wait time, 221 streets in the intersection
Street 109, intersection 499: 677 total wait time, 221 streets in the intersection
Street 769, intersection 499: 677 total wait time, 221 streets in the intersection
Street 25, intersection 499: 677 total wait time, 221 streets in the intersection
Street 477, intersection 499: 677 total wait time, 221 streets in the intersection
Street 105, intersection 499: 677 total wait time, 221 streets in the intersection
Street 473, intersection 499: 677 total wait time, 221 streets in the intersection
Street 289, intersection 499: 677 total wait time, 221 streets in the intersection
Street 269, intersection 499: 677 total wait time, 221 streets in the intersection
Street 621, intersection 499: 674 total wait time, 221 streets in the intersection
Street 589, intersection 499: 674 total wait time, 221 streets in the intersection
Street 181, intersection 499: 672 total wait time, 221 streets in the intersection
Street 869, intersection 499: 666 total wait time, 221 streets in the intersection
Street 369, intersection 499: 664 total wait time, 221 streets in the intersection
Street 909, intersection 499: 663 total wait time, 221 streets in the intersection
Street 665, intersection 499: 650 total wait time, 221 streets in the intersection
Street 281, intersection 499: 650 total wait time, 221 streets in the intersection
Street 157, intersection 499: 646 total wait time, 221 streets in the intersection
Street 85, intersection 499: 644 total wait time, 221 streets in the intersection
Street 969, intersection 499: 634 total wait time, 221 streets in the intersection
Street 981, intersection 499: 626 total wait time, 221 streets in the intersection
Street 301, intersection 499: 624 total wait time, 221 streets in the intersection
Street 569, intersection 499: 616 total wait time, 221 streets in the intersection
Street 949, intersection 499: 614 total wait time, 221 streets in the intersection
  => New best score by adding 1 to street 949: 720303
Street 317, intersection 499: 613 total wait time, 221 streets in the intersection
Street 641, intersection 499: 610 total wait time, 221 streets in the intersection
Street 537, intersection 499: 608 total wait time, 221 streets in the intersection
Street 793, intersection 499: 606 total wait time, 221 streets in the intersection
Street 817, intersection 499: 604 total wait time, 221 streets in the intersection
Street 593, intersection 499: 599 total wait time, 221 streets in the intersection
Street 929, intersection 499: 598 total wait time, 221 streets in the intersection
Street 529, intersection 499: 594 total wait time, 221 streets in the intersection
Street 617, intersection 499: 593 total wait time, 221 streets in the intersection
Street 221, intersection 499: 592 total wait time, 221 streets in the intersection
Street 349, intersection 499: 589 total wait time, 221 streets in the intersection
Street 493, intersection 499: 586 total wait time, 221 streets in the intersection
Street 497, intersection 499: 583 total wait time, 221 streets in the intersection
Street 961, intersection 499: 572 total wait time, 221 streets in the intersection
Street 45, intersection 499: 566 total wait time, 221 streets in the intersection
Street 189, intersection 499: 561 total wait time, 221 streets in the intersection
Street 681, intersection 499: 558 total wait time, 221 streets in the intersection
Street 745, intersection 499: 552 total wait time, 221 streets in the intersection
Street 445, intersection 499: 545 total wait time, 221 streets in the intersection
Street 613, intersection 499: 544 total wait time, 221 streets in the intersection
Street 21, intersection 499: 537 total wait time, 221 streets in the intersection
Street 777, intersection 499: 529 total wait time, 221 streets in the intersection
Street 877, intersection 499: 524 total wait time, 221 streets in the intersection
Street 481, intersection 499: 522 total wait time, 221 streets in the intersection
Street 649, intersection 499: 520 total wait time, 221 streets in the intersection
Street 253, intersection 499: 516 total wait time, 221 streets in the intersection
Street 669, intersection 499: 513 total wait time, 221 streets in the intersection
Street 829, intersection 499: 513 total wait time, 221 streets in the intersection
Street 137, intersection 499: 512 total wait time, 221 streets in the intersection
Street 605, intersection 499: 506 total wait time, 221 streets in the intersection
Street 553, intersection 499: 504 total wait time, 221 streets in the intersection
Street 985, intersection 499: 500 total wait time, 221 streets in the intersection
Street 905, intersection 499: 498 total wait time, 221 streets in the intersection
Street 957, intersection 499: 487 total wait time, 221 streets in the intersection
Street 77, intersection 499: 480 total wait time, 221 streets in the intersection
Street 897, intersection 499: 477 total wait time, 221 streets in the intersection
Street 561, intersection 499: 476 total wait time, 221 streets in the intersection
Street 401, intersection 499: 473 total wait time, 221 streets in the intersection
Street 749, intersection 499: 468 total wait time, 221 streets in the intersection
Street 601, intersection 499: 463 total wait time, 221 streets in the intersection
Street 265, intersection 499: 456 total wait time, 221 streets in the intersection
Street 129, intersection 499: 454 total wait time, 221 streets in the intersection
Street 809, intersection 499: 447 total wait time, 221 streets in the intersection
Street 977, intersection 499: 435 total wait time, 221 streets in the intersection
Street 153, intersection 499: 434 total wait time, 221 streets in the intersection
Street 197, intersection 499: 433 total wait time, 221 streets in the intersection
Street 361, intersection 499: 432 total wait time, 221 streets in the intersection
Street 729, intersection 499: 430 total wait time, 221 streets in the intersection
Street 353, intersection 499: 426 total wait time, 221 streets in the intersection
Street 937, intersection 499: 408 total wait time, 221 streets in the intersection
Street 677, intersection 499: 406 total wait time, 221 streets in the intersection
Street 393, intersection 499: 405 total wait time, 221 streets in the intersection
Street 565, intersection 499: 402 total wait time, 221 streets in the intersection
Street 453, intersection 499: 399 total wait time, 221 streets in the intersection
Street 93, intersection 499: 397 total wait time, 221 streets in the intersection
Street 577, intersection 499: 396 total wait time, 221 streets in the intersection
Street 165, intersection 499: 393 total wait time, 221 streets in the intersection
Street 121, intersection 499: 392 total wait time, 221 streets in the intersection
Street 457, intersection 499: 391 total wait time, 221 streets in the intersection
